datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2026-01-31 05:10:04,500,21,B+1.0,16.0,-15.263693206478006
2026-01-31 05:39:05,1000,27,B+1.0,32.0,0.7363067935219938
2026-01-31 06:08:09,1500,27,B+1.0,48.0,16.736306793521994
2026-01-31 06:36:08,2000,25,B+1.0,64.0,32.73630679352199
2026-01-31 07:04:57,2500,13,B+1.0,80.0,48.73630679352199
2026-01-31 07:33:20,3000,17,B+1.0,96.0,64.73630679352199
2026-01-31 08:02:06,3500,12,W+1.0,80.73630679352199,112.0
2026-01-31 08:30:33,4000,21,B+1.0,96.73630679352199,65.47261358704398
2026-01-31 08:59:25,4500,15,B+1.0,112.73630679352199,81.47261358704398
2026-01-31 09:27:48,5000,19,B+1.0,128.73630679352198,97.47261358704398
2026-01-31 09:56:17,5500,21,B+1.0,144.73630679352198,113.47261358704397
2026-01-31 10:24:09,6000,15,B+1.0,160.73630679352198,129.47261358704398
2026-01-31 10:52:30,6500,15,B+1.0,176.73630679352198,145.47261358704398
2026-01-31 11:21:20,7000,15,B+1.0,192.73630679352198,161.47261358704398
2026-01-31 11:50:05,7500,11,B+1.0,208.73630679352198,177.47261358704398
2026-01-31 12:17:32,8000,22,W+1.0,193.47261358704398,224.73630679352198
2026-01-31 12:45:20,8500,11,B+1.0,209.47261358704398,178.20892038056598
2026-01-31 13:13:49,9000,24,W+1.0,194.20892038056598,225.47261358704398
2026-01-31 13:42:06,9500,13,B+1.0,210.20892038056598,178.945227174088
2026-01-31 14:09:25,10000,14,W+1.0,194.945227174088,226.20892038056598
2026-01-31 14:37:44,10500,13,B+1.0,210.945227174088,179.68153396761
2026-01-31 15:06:36,11000,18,W+1.0,195.68153396761,226.945227174088
2026-01-31 15:34:27,11500,15,B+1.0,211.68153396761,180.417840761132
2026-01-31 16:01:49,12000,15,B+1.0,227.68153396761,196.417840761132
2026-01-31 16:29:34,12500,9,B+1.0,243.68153396761,212.417840761132
2026-01-31 16:57:21,13000,13,B+1.0,259.68153396761,228.417840761132
2026-01-31 17:26:12,13500,18,W+1.0,244.417840761132,275.68153396761
2026-01-31 17:54:32,14000,13,B+1.0,260.41784076113197,229.154147554654
2026-01-31 18:22:21,14500,15,B+1.0,276.41784076113197,245.15414755465397
2026-01-31 18:50:06,15000,9,B+1.0,292.41784076113197,261.15414755465395
2026-01-31 19:17:55,15500,15,B+1.0,308.41784076113197,277.15414755465395
2026-01-31 19:45:11,16000,10,W+1.0,293.15414755465395,324.41784076113197
2026-01-31 20:12:28,16500,12,W+1.0,277.8904543481759,309.15414755465395
